Jun/20/2018 14:00:27
epoches, top1
0,tensor(15.0794, device='cuda:0')
Jun/20/2018 22:13:03
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(69.8413, device='cuda:0')
10,tensor(70.6349, device='cuda:0')
Jun/20/2018 22:50:57
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(55.5556, device='cuda:0')
10,tensor(65.0794, device='cuda:0')
15,tensor(66.6667, device='cuda:0')
20,tensor(87.3016, device='cuda:0')
25,tensor(87.3016, device='cuda:0')
30,tensor(88.0952, device='cuda:0')
35,tensor(89.6825, device='cuda:0')
40,tensor(88.0952, device='cuda:0')
Jun/20/2018 22:53:19
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(88.0952, device='cuda:0')
10,tensor(86.5079, device='cuda:0')
15,tensor(76.1905, device='cuda:0')
Jun/20/2018 23:08:04
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(1.5873, device='cuda:0')
10,tensor(76.9841, device='cuda:0')
15,tensor(85.7143, device='cuda:0')
20,tensor(73.0159, device='cuda:0')
25,tensor(81.7460, device='cuda:0')
30,tensor(85.7143, device='cuda:0')
35,tensor(85.7143, device='cuda:0')
40,tensor(88.0952, device='cuda:0')
45,tensor(88.0952, device='cuda:0')
50,tensor(88.0952, device='cuda:0')
55,tensor(88.0952, device='cuda:0')
60,tensor(88.0952, device='cuda:0')
65,tensor(88.0952, device='cuda:0')
Jun/20/2018 23:11:12
