Jun/20/2018 23:08:04
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(19.6429, device='cuda:0')
10,tensor(8.0357, device='cuda:0')
15,tensor(31.2500, device='cuda:0')
20,tensor(19.6429, device='cuda:0')
25,tensor(61.6071, device='cuda:0')
30,tensor(43.7500, device='cuda:0')
35,tensor(29.4643, device='cuda:0')
40,tensor(17.8571, device='cuda:0')
45,tensor(24.1071, device='cuda:0')
50,tensor(19.6429, device='cuda:0')
55,tensor(16.0714, device='cuda:0')
60,tensor(17.8571, device='cuda:0')
65,tensor(17.8571, device='cuda:0')
70,tensor(13.3929, device='cuda:0')
75,tensor(17.8571, device='cuda:0')
80,tensor(16.9643, device='cuda:0')
85,tensor(17.8571, device='cuda:0')
90,tensor(14.2857, device='cuda:0')
95,tensor(15.1786, device='cuda:0')
100,tensor(5.3571, device='cuda:0')
105,tensor(0.8929, device='cuda:0')
110,tensor(15.1786, device='cuda:0')
115,tensor(14.2857, device='cuda:0')
120,tensor(6.2500, device='cuda:0')
125,tensor(13.3929, device='cuda:0')
130,tensor(3.5714, device='cuda:0')
135,tensor(8.0357, device='cuda:0')
140,tensor(8.0357, device='cuda:0')
145,tensor(9.8214, device='cuda:0')
150,tensor(43.7500, device='cuda:0')
155,tensor(8.9286, device='cuda:0')
160,tensor(13.3929, device='cuda:0')
165,tensor(17.8571, device='cuda:0')
170,tensor(13.3929, device='cuda:0')
175,tensor(0.8929, device='cuda:0')
180,tensor(19.6429, device='cuda:0')
185,tensor(21.4286, device='cuda:0')
190,tensor(11.6071, device='cuda:0')
195,tensor(16.9643, device='cuda:0')
200,tensor(11.6071, device='cuda:0')
205,tensor(16.9643, device='cuda:0')
210,tensor(17.8571, device='cuda:0')
215,tensor(11.6071, device='cuda:0')
220,tensor(46.4286, device='cuda:0')
225,tensor(16.9643, device='cuda:0')
230,tensor(14.2857, device='cuda:0')
235,tensor(17.8571, device='cuda:0')
240,tensor(2.6786, device='cuda:0')
245,tensor(3.5714, device='cuda:0')
250,tensor(7.1429, device='cuda:0')
255,tensor(13.3929, device='cuda:0')
260,tensor(8.9286, device='cuda:0')
265,tensor(18.7500, device='cuda:0')
270,tensor(4.4643, device='cuda:0')
275,tensor(8.0357, device='cuda:0')
280,tensor(11.6071, device='cuda:0')
285,tensor(17.8571, device='cuda:0')
290,tensor(16.9643, device='cuda:0')
295,tensor(4.4643, device='cuda:0')
300,tensor(11.6071, device='cuda:0')
305,tensor(2.6786, device='cuda:0')
310,tensor(15.1786, device='cuda:0')
315,tensor(16.9643, device='cuda:0')
320,tensor(15.1786, device='cuda:0')
325,tensor(16.0714, device='cuda:0')
330,tensor(15.1786, device='cuda:0')
335,tensor(7.1429, device='cuda:0')
340,tensor(20.5357, device='cuda:0')
345,tensor(15.1786, device='cuda:0')
350,tensor(24.1071, device='cuda:0')
355,tensor(16.9643, device='cuda:0')
360,tensor(15.1786, device='cuda:0')
365,tensor(4.4643, device='cuda:0')
370,tensor(0.8929, device='cuda:0')
375,tensor(17.8571, device='cuda:0')
380,tensor(7.1429, device='cuda:0')
385,tensor(18.7500, device='cuda:0')
390,tensor(17.8571, device='cuda:0')
395,tensor(16.9643, device='cuda:0')
400,tensor(17.8571, device='cuda:0')
405,tensor(18.7500, device='cuda:0')
410,tensor(13.3929, device='cuda:0')
415,tensor(19.6429, device='cuda:0')
420,tensor(17.8571, device='cuda:0')
425,tensor(0.8929, device='cuda:0')
430,tensor(16.0714, device='cuda:0')
435,tensor(26.7857, device='cuda:0')
440,tensor(21.4286, device='cuda:0')
445,tensor(34.8214, device='cuda:0')
450,tensor(20.5357, device='cuda:0')
455,tensor(19.6429, device='cuda:0')
460,tensor(16.9643, device='cuda:0')
465,tensor(13.3929, device='cuda:0')
470,tensor(0.8929, device='cuda:0')
475,tensor(8.9286, device='cuda:0')
480,tensor(17.8571, device='cuda:0')
485,tensor(18.7500, device='cuda:0')
490,tensor(17.8571, device='cuda:0')
495,tensor(14.2857, device='cuda:0')
500,tensor(0.8929, device='cuda:0')
505,tensor(56.2500, device='cuda:0')
510,tensor(19.6429, device='cuda:0')
515,tensor(1.7857, device='cuda:0')
520,tensor(16.9643, device='cuda:0')
525,tensor(13.3929, device='cuda:0')
530,tensor(11.6071, device='cuda:0')
535,tensor(2.6786, device='cuda:0')
540,tensor(18.7500, device='cuda:0')
545,tensor(2.6786, device='cuda:0')
550,tensor(12.5000, device='cuda:0')
555,tensor(14.2857, device='cuda:0')
560,tensor(6.2500, device='cuda:0')
565,tensor(18.7500, device='cuda:0')
570,tensor(15.1786, device='cuda:0')
575,tensor(19.6429, device='cuda:0')
580,tensor(10.7143, device='cuda:0')
585,tensor(16.0714, device='cuda:0')
590,tensor(14.2857, device='cuda:0')
595,tensor(16.0714, device='cuda:0')
600,tensor(17.8571, device='cuda:0')
605,tensor(16.9643, device='cuda:0')
610,tensor(17.8571, device='cuda:0')
615,tensor(1.7857, device='cuda:0')
620,tensor(17.8571, device='cuda:0')
625,tensor(14.2857, device='cuda:0')
630,tensor(0.8929, device='cuda:0')
635,tensor(34.8214, device='cuda:0')
640,tensor(15.1786, device='cuda:0')
645,tensor(18.7500, device='cuda:0')
650,tensor(34.8214, device='cuda:0')
655,tensor(19.6429, device='cuda:0')
660,tensor(17.8571, device='cuda:0')
665,tensor(13.3929, device='cuda:0')
670,tensor(0.8929, device='cuda:0')
675,tensor(14.2857, device='cuda:0')
680,tensor(10.7143, device='cuda:0')
685,tensor(17.8571, device='cuda:0')
690,tensor(17.8571, device='cuda:0')
695,tensor(16.0714, device='cuda:0')
700,tensor(17.8571, device='cuda:0')
705,tensor(0.8929, device='cuda:0')
710,tensor(1.7857, device='cuda:0')
715,tensor(10.7143, device='cuda:0')
720,tensor(20.5357, device='cuda:0')
725,tensor(43.7500, device='cuda:0')
730,tensor(22.3214, device='cuda:0')
735,tensor(0.8929, device='cuda:0')
740,tensor(1.7857, device='cuda:0')
745,tensor(0.8929, device='cuda:0')
750,tensor(19.6429, device='cuda:0')
755,tensor(13.3929, device='cuda:0')
760,tensor(13.3929, device='cuda:0')
765,tensor(17.8571, device='cuda:0')
770,tensor(45.5357, device='cuda:0')
775,tensor(27.6786, device='cuda:0')
780,tensor(19.6429, device='cuda:0')
785,tensor(17.8571, device='cuda:0')
790,tensor(2.6786, device='cuda:0')
795,tensor(17.8571, device='cuda:0')
800,tensor(14.2857, device='cuda:0')
805,tensor(16.9643, device='cuda:0')
810,tensor(17.8571, device='cuda:0')
815,tensor(15.1786, device='cuda:0')
820,tensor(13.3929, device='cuda:0')
825,tensor(17.8571, device='cuda:0')
830,tensor(12.5000, device='cuda:0')
835,tensor(8.9286, device='cuda:0')
840,tensor(19.6429, device='cuda:0')
845,tensor(20.5357, device='cuda:0')
850,tensor(9.8214, device='cuda:0')
855,tensor(26.7857, device='cuda:0')
860,tensor(12.5000, device='cuda:0')
865,tensor(20.5357, device='cuda:0')
870,tensor(16.9643, device='cuda:0')
875,tensor(3.5714, device='cuda:0')
880,tensor(12.5000, device='cuda:0')
885,tensor(19.6429, device='cuda:0')
890,tensor(8.9286, device='cuda:0')
895,tensor(19.6429, device='cuda:0')
900,tensor(1.7857, device='cuda:0')
905,tensor(17.8571, device='cuda:0')
910,tensor(29.4643, device='cuda:0')
915,tensor(20.5357, device='cuda:0')
920,tensor(4.4643, device='cuda:0')
925,tensor(19.6429, device='cuda:0')
930,tensor(17.8571, device='cuda:0')
935,tensor(18.7500, device='cuda:0')
940,tensor(16.0714, device='cuda:0')
945,tensor(1.7857, device='cuda:0')
950,tensor(13.3929, device='cuda:0')
955,tensor(14.2857, device='cuda:0')
960,tensor(18.7500, device='cuda:0')
965,tensor(1.7857, device='cuda:0')
970,tensor(16.9643, device='cuda:0')
975,tensor(11.6071, device='cuda:0')
980,tensor(9.8214, device='cuda:0')
985,tensor(16.9643, device='cuda:0')
990,tensor(19.6429, device='cuda:0')
995,tensor(19.6429, device='cuda:0')
1000,tensor(17.8571, device='cuda:0')
1005,tensor(33.9286, device='cuda:0')
1010,tensor(0.8929, device='cuda:0')
1015,tensor(17.8571, device='cuda:0')
1020,tensor(4.4643, device='cuda:0')
1025,tensor(1.7857, device='cuda:0')
1030,tensor(18.7500, device='cuda:0')
1035,tensor(29.4643, device='cuda:0')
1040,tensor(0.8929, device='cuda:0')
1045,tensor(19.6429, device='cuda:0')
1050,tensor(17.8571, device='cuda:0')
1055,tensor(4.4643, device='cuda:0')
1060,tensor(14.2857, device='cuda:0')
1065,tensor(17.8571, device='cuda:0')
1070,tensor(18.7500, device='cuda:0')
1075,tensor(16.9643, device='cuda:0')
1080,tensor(18.7500, device='cuda:0')
1085,tensor(14.2857, device='cuda:0')
1090,tensor(18.7500, device='cuda:0')
1095,tensor(11.6071, device='cuda:0')
1100,tensor(15.1786, device='cuda:0')
1105,tensor(17.8571, device='cuda:0')
1110,tensor(20.5357, device='cuda:0')
1115,tensor(30.3571, device='cuda:0')
1120,tensor(16.9643, device='cuda:0')
1125,tensor(33.9286, device='cuda:0')
1130,tensor(12.5000, device='cuda:0')
1135,tensor(16.0714, device='cuda:0')
1140,tensor(3.5714, device='cuda:0')
1145,tensor(0.8929, device='cuda:0')
1150,tensor(16.0714, device='cuda:0')
1155,tensor(12.5000, device='cuda:0')
1160,tensor(11.6071, device='cuda:0')
1165,tensor(13.3929, device='cuda:0')
1170,tensor(13.3929, device='cuda:0')
Jun/21/2018 00:10:13
