Jun/21/2018 13:51:27
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(80.9717, device='cuda:0')
10,tensor(80.9717, device='cuda:0')
15,tensor(83.4008, device='cuda:0')
20,tensor(85.2227, device='cuda:0')
25,tensor(85.6275, device='cuda:0')
30,tensor(85.6275, device='cuda:0')
35,tensor(85.6275, device='cuda:0')
40,tensor(85.6275, device='cuda:0')
45,tensor(85.6275, device='cuda:0')
50,tensor(85.6275, device='cuda:0')
Jun/21/2018 14:01:15
Jun/24/2018 23:37:27
epoches, top1
0,tensor(0.8097, device='cuda:0')
Jun/24/2018 23:39:48
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(82.7935, device='cuda:0')
10,tensor(85.6275, device='cuda:0')
15,tensor(86.4372, device='cuda:0')
20,tensor(85.6275, device='cuda:0')
25,tensor(87.0445, device='cuda:0')
30,tensor(91.4980, device='cuda:0')
35,tensor(92.3077, device='cuda:0')
40,tensor(92.3077, device='cuda:0')
45,tensor(92.3077, device='cuda:0')
50,tensor(92.5101, device='cuda:0')
55,tensor(92.5101, device='cuda:0')
60,tensor(92.3077, device='cuda:0')
65,tensor(92.3077, device='cuda:0')
70,tensor(92.3077, device='cuda:0')
75,tensor(92.5101, device='cuda:0')
80,tensor(92.3077, device='cuda:0')
85,tensor(92.5101, device='cuda:0')
90,tensor(92.3077, device='cuda:0')
95,tensor(92.3077, device='cuda:0')
100,tensor(92.5101, device='cuda:0')
105,tensor(93.9271, device='cuda:0')
110,tensor(92.5101, device='cuda:0')
115,tensor(93.9271, device='cuda:0')
120,tensor(92.5101, device='cuda:0')
125,tensor(93.9271, device='cuda:0')
130,tensor(93.9271, device='cuda:0')
135,tensor(93.9271, device='cuda:0')
140,tensor(93.9271, device='cuda:0')
145,tensor(93.9271, device='cuda:0')
150,tensor(93.9271, device='cuda:0')
155,tensor(93.9271, device='cuda:0')
Jun/24/2018 23:55:59
