Jun/21/2018 13:51:28
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(50.8197, device='cuda:0')
10,tensor(52.8689, device='cuda:0')
15,tensor(0.8197, device='cuda:0')
20,tensor(0., device='cuda:0')
25,tensor(0.8197, device='cuda:0')
30,tensor(1.0246, device='cuda:0')
35,tensor(0., device='cuda:0')
40,tensor(0., device='cuda:0')
45,tensor(1.0246, device='cuda:0')
50,tensor(4.5082, device='cuda:0')
55,tensor(28.8934, device='cuda:0')
60,tensor(0., device='cuda:0')
65,tensor(0., device='cuda:0')
70,tensor(0., device='cuda:0')
75,tensor(0., device='cuda:0')
80,tensor(25.0000, device='cuda:0')
85,tensor(0., device='cuda:0')
90,tensor(0., device='cuda:0')
95,tensor(0.8197, device='cuda:0')
100,tensor(0., device='cuda:0')
105,tensor(14.7541, device='cuda:0')
110,tensor(0.4098, device='cuda:0')
115,tensor(4.3033, device='cuda:0')
120,tensor(0.4098, device='cuda:0')
125,tensor(25.2049, device='cuda:0')
130,tensor(18.8525, device='cuda:0')
135,tensor(0., device='cuda:0')
140,tensor(11.8852, device='cuda:0')
145,tensor(24.1803, device='cuda:0')
150,tensor(0.8197, device='cuda:0')
155,tensor(0., device='cuda:0')
160,tensor(0.2049, device='cuda:0')
165,tensor(15.5738, device='cuda:0')
170,tensor(0., device='cuda:0')
175,tensor(0., device='cuda:0')
180,tensor(2.6639, device='cuda:0')
185,tensor(1.0246, device='cuda:0')
190,tensor(0., device='cuda:0')
195,tensor(0., device='cuda:0')
200,tensor(0., device='cuda:0')
205,tensor(42.2131, device='cuda:0')
210,tensor(0., device='cuda:0')
215,tensor(0., device='cuda:0')
220,tensor(35.6557, device='cuda:0')
225,tensor(0.6148, device='cuda:0')
230,tensor(25.6148, device='cuda:0')
235,tensor(0., device='cuda:0')
240,tensor(0., device='cuda:0')
245,tensor(0., device='cuda:0')
250,tensor(8.8115, device='cuda:0')
255,tensor(8.1967, device='cuda:0')
260,tensor(33.8115, device='cuda:0')
265,tensor(1.4344, device='cuda:0')
270,tensor(0., device='cuda:0')
275,tensor(0., device='cuda:0')
280,tensor(4.9180, device='cuda:0')
285,tensor(0.2049, device='cuda:0')
290,tensor(6.1475, device='cuda:0')
295,tensor(0., device='cuda:0')
300,tensor(26.2295, device='cuda:0')
305,tensor(0.4098, device='cuda:0')
310,tensor(34.0164, device='cuda:0')
315,tensor(0.6148, device='cuda:0')
320,tensor(0., device='cuda:0')
325,tensor(0., device='cuda:0')
330,tensor(0., device='cuda:0')
335,tensor(0.8197, device='cuda:0')
340,tensor(4.3033, device='cuda:0')
345,tensor(0.4098, device='cuda:0')
350,tensor(0., device='cuda:0')
355,tensor(20.4918, device='cuda:0')
360,tensor(4.3033, device='cuda:0')
365,tensor(0., device='cuda:0')
370,tensor(0., device='cuda:0')
375,tensor(0., device='cuda:0')
380,tensor(52.4590, device='cuda:0')
385,tensor(0.4098, device='cuda:0')
390,tensor(1.6393, device='cuda:0')
395,tensor(1.2295, device='cuda:0')
400,tensor(7.5820, device='cuda:0')
405,tensor(4.3033, device='cuda:0')
410,tensor(0.4098, device='cuda:0')
415,tensor(0., device='cuda:0')
420,tensor(0., device='cuda:0')
425,tensor(8.1967, device='cuda:0')
430,tensor(0., device='cuda:0')
435,tensor(0.4098, device='cuda:0')
440,tensor(0.2049, device='cuda:0')
445,tensor(0., device='cuda:0')
450,tensor(47.7459, device='cuda:0')
455,tensor(32.5820, device='cuda:0')
460,tensor(9.4262, device='cuda:0')
465,tensor(19.2623, device='cuda:0')
470,tensor(0., device='cuda:0')
475,tensor(0., device='cuda:0')
480,tensor(1.4344, device='cuda:0')
485,tensor(0., device='cuda:0')
490,tensor(31.9672, device='cuda:0')
495,tensor(0., device='cuda:0')
500,tensor(52.4590, device='cuda:0')
505,tensor(0., device='cuda:0')
510,tensor(0., device='cuda:0')
515,tensor(0., device='cuda:0')
520,tensor(0., device='cuda:0')
525,tensor(23.3607, device='cuda:0')
530,tensor(21.5164, device='cuda:0')
535,tensor(0., device='cuda:0')
540,tensor(31.7623, device='cuda:0')
545,tensor(52.4590, device='cuda:0')
550,tensor(2.0492, device='cuda:0')
555,tensor(52.4590, device='cuda:0')
560,tensor(18.6475, device='cuda:0')
565,tensor(29.5082, device='cuda:0')
570,tensor(6.3525, device='cuda:0')
575,tensor(0., device='cuda:0')
580,tensor(0.4098, device='cuda:0')
585,tensor(1.2295, device='cuda:0')
590,tensor(0.4098, device='cuda:0')
595,tensor(6.1475, device='cuda:0')
600,tensor(0.2049, device='cuda:0')
605,tensor(26.2295, device='cuda:0')
610,tensor(0., device='cuda:0')
615,tensor(0., device='cuda:0')
620,tensor(0.2049, device='cuda:0')
625,tensor(10.6557, device='cuda:0')
630,tensor(2.0492, device='cuda:0')
635,tensor(35.8607, device='cuda:0')
640,tensor(4.5082, device='cuda:0')
645,tensor(40.9836, device='cuda:0')
650,tensor(38.9344, device='cuda:0')
655,tensor(0.2049, device='cuda:0')
660,tensor(1.0246, device='cuda:0')
665,tensor(52.4590, device='cuda:0')
670,tensor(29.7131, device='cuda:0')
675,tensor(0., device='cuda:0')
680,tensor(11.6803, device='cuda:0')
685,tensor(0.6148, device='cuda:0')
690,tensor(2.0492, device='cuda:0')
695,tensor(4.9180, device='cuda:0')
700,tensor(35.8607, device='cuda:0')
705,tensor(0.4098, device='cuda:0')
710,tensor(0., device='cuda:0')
715,tensor(2.2541, device='cuda:0')
720,tensor(0., device='cuda:0')
725,tensor(0., device='cuda:0')
730,tensor(46.1066, device='cuda:0')
735,tensor(33.8115, device='cuda:0')
740,tensor(0., device='cuda:0')
745,tensor(8.6066, device='cuda:0')
750,tensor(6.1475, device='cuda:0')
755,tensor(0.2049, device='cuda:0')
760,tensor(1.2295, device='cuda:0')
765,tensor(45.2869, device='cuda:0')
770,tensor(0., device='cuda:0')
775,tensor(0.6148, device='cuda:0')
780,tensor(51.4344, device='cuda:0')
785,tensor(1.6393, device='cuda:0')
790,tensor(0., device='cuda:0')
795,tensor(0., device='cuda:0')
800,tensor(9.8361, device='cuda:0')
805,tensor(14.1393, device='cuda:0')
810,tensor(0., device='cuda:0')
815,tensor(0., device='cuda:0')
820,tensor(0.4098, device='cuda:0')
825,tensor(0.2049, device='cuda:0')
830,tensor(46.1066, device='cuda:0')
835,tensor(0., device='cuda:0')
840,tensor(0., device='cuda:0')
845,tensor(0.6148, device='cuda:0')
850,tensor(0., device='cuda:0')
855,tensor(0.6148, device='cuda:0')
860,tensor(52.4590, device='cuda:0')
865,tensor(0., device='cuda:0')
870,tensor(0., device='cuda:0')
875,tensor(43.2377, device='cuda:0')
880,tensor(3.8934, device='cuda:0')
885,tensor(0., device='cuda:0')
890,tensor(0., device='cuda:0')
895,tensor(0., device='cuda:0')
900,tensor(0.4098, device='cuda:0')
905,tensor(52.2541, device='cuda:0')
910,tensor(49.5902, device='cuda:0')
915,tensor(23.7705, device='cuda:0')
920,tensor(49.7951, device='cuda:0')
925,tensor(10.8607, device='cuda:0')
930,tensor(0.2049, device='cuda:0')
935,tensor(0.4098, device='cuda:0')
940,tensor(0.8197, device='cuda:0')
945,tensor(32.3770, device='cuda:0')
950,tensor(10.6557, device='cuda:0')
955,tensor(1.0246, device='cuda:0')
960,tensor(12.9098, device='cuda:0')
965,tensor(0., device='cuda:0')
970,tensor(14.9590, device='cuda:0')
975,tensor(23.7705, device='cuda:0')
980,tensor(0., device='cuda:0')
985,tensor(0.4098, device='cuda:0')
990,tensor(0.6148, device='cuda:0')
995,tensor(0.8197, device='cuda:0')
1000,tensor(0., device='cuda:0')
1005,tensor(0., device='cuda:0')
1010,tensor(52.4590, device='cuda:0')
1015,tensor(30.9426, device='cuda:0')
1020,tensor(0., device='cuda:0')
1025,tensor(42.4180, device='cuda:0')
1030,tensor(40.7787, device='cuda:0')
1035,tensor(17.6229, device='cuda:0')
1040,tensor(0., device='cuda:0')
1045,tensor(18.4426, device='cuda:0')
1050,tensor(51.0246, device='cuda:0')
1055,tensor(0., device='cuda:0')
1060,tensor(0., device='cuda:0')
1065,tensor(0.6148, device='cuda:0')
1070,tensor(3.6885, device='cuda:0')
1075,tensor(4.9180, device='cuda:0')
1080,tensor(17.6229, device='cuda:0')
1085,tensor(45.9016, device='cuda:0')
1090,tensor(0., device='cuda:0')
1095,tensor(0.6148, device='cuda:0')
1100,tensor(3.2787, device='cuda:0')
1105,tensor(0.4098, device='cuda:0')
1110,tensor(6.7623, device='cuda:0')
1115,tensor(0., device='cuda:0')
1120,tensor(6.5574, device='cuda:0')
1125,tensor(0., device='cuda:0')
1130,tensor(3.2787, device='cuda:0')
1135,tensor(0., device='cuda:0')
1140,tensor(0., device='cuda:0')
1145,tensor(5.1230, device='cuda:0')
1150,tensor(27.4590, device='cuda:0')
1155,tensor(0., device='cuda:0')
1160,tensor(0., device='cuda:0')
1165,tensor(0., device='cuda:0')
1170,tensor(12.5000, device='cuda:0')
1175,tensor(1.0246, device='cuda:0')
1180,tensor(0.2049, device='cuda:0')
1185,tensor(0., device='cuda:0')
1190,tensor(0.2049, device='cuda:0')
1195,tensor(0., device='cuda:0')
1200,tensor(40.9836, device='cuda:0')
1205,tensor(11.0656, device='cuda:0')
1210,tensor(0., device='cuda:0')
1215,tensor(0.2049, device='cuda:0')
1220,tensor(16.1885, device='cuda:0')
1225,tensor(0., device='cuda:0')
1230,tensor(0., device='cuda:0')
1235,tensor(8.6066, device='cuda:0')
1240,tensor(14.3443, device='cuda:0')
1245,tensor(27.4590, device='cuda:0')
1250,tensor(0., device='cuda:0')
1255,tensor(0., device='cuda:0')
1260,tensor(10.4508, device='cuda:0')
1265,tensor(32.3770, device='cuda:0')
1270,tensor(0.4098, device='cuda:0')
1275,tensor(51.4344, device='cuda:0')
1280,tensor(31.1475, device='cuda:0')
1285,tensor(10.6557, device='cuda:0')
1290,tensor(1.0246, device='cuda:0')
1295,tensor(5.9426, device='cuda:0')
1300,tensor(30.1229, device='cuda:0')
1305,tensor(0., device='cuda:0')
1310,tensor(0., device='cuda:0')
1315,tensor(0., device='cuda:0')
1320,tensor(0., device='cuda:0')
1325,tensor(0., device='cuda:0')
1330,tensor(0., device='cuda:0')
1335,tensor(8.6066, device='cuda:0')
1340,tensor(2.2541, device='cuda:0')
1345,tensor(0., device='cuda:0')
1350,tensor(11.2705, device='cuda:0')
1355,tensor(10.2459, device='cuda:0')
1360,tensor(0.2049, device='cuda:0')
1365,tensor(18.6475, device='cuda:0')
1370,tensor(2.8689, device='cuda:0')
1375,tensor(6.5574, device='cuda:0')
1380,tensor(3.8934, device='cuda:0')
1385,tensor(4.9180, device='cuda:0')
1390,tensor(52.4590, device='cuda:0')
1395,tensor(21.9262, device='cuda:0')
1400,tensor(0.2049, device='cuda:0')
1405,tensor(28.8934, device='cuda:0')
1410,tensor(0., device='cuda:0')
1415,tensor(14.7541, device='cuda:0')
1420,tensor(39.5492, device='cuda:0')
1425,tensor(17.6229, device='cuda:0')
1430,tensor(5.5328, device='cuda:0')
1435,tensor(6.5574, device='cuda:0')
1440,tensor(50.0000, device='cuda:0')
1445,tensor(49.7951, device='cuda:0')
1450,tensor(0.2049, device='cuda:0')
1455,tensor(1.2295, device='cuda:0')
1460,tensor(51.2295, device='cuda:0')
1465,tensor(8.8115, device='cuda:0')
1470,tensor(0., device='cuda:0')
1475,tensor(5.3279, device='cuda:0')
1480,tensor(0., device='cuda:0')
1485,tensor(0., device='cuda:0')
1490,tensor(48.9754, device='cuda:0')
