Jun/22/2018 23:12:00
epoches, top1
Jun/22/2018 23:13:30
epoches, top1
Jun/22/2018 23:15:05
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(79.5681, device='cuda:0')
10,tensor(66.4452, device='cuda:0')
15,tensor(70.2658, device='cuda:0')
20,tensor(69.6013, device='cuda:0')
25,tensor(65.7807, device='cuda:0')
30,tensor(78.0731, device='cuda:0')
35,tensor(70.9302, device='cuda:0')
40,tensor(70.5980, device='cuda:0')
45,tensor(72.9236, device='cuda:0')
50,tensor(71.9269, device='cuda:0')
55,tensor(71.9269, device='cuda:0')
60,tensor(70.4319, device='cuda:0')
65,tensor(72.4252, device='cuda:0')
70,tensor(71.4286, device='cuda:0')
75,tensor(73.5880, device='cuda:0')
80,tensor(73.4219, device='cuda:0')
85,tensor(71.7608, device='cuda:0')
90,tensor(71.7608, device='cuda:0')
95,tensor(70.7641, device='cuda:0')
100,tensor(73.9203, device='cuda:0')
105,tensor(71.4286, device='cuda:0')
110,tensor(71.4286, device='cuda:0')
115,tensor(69.2691, device='cuda:0')
120,tensor(69.7674, device='cuda:0')
125,tensor(72.2591, device='cuda:0')
130,tensor(71.2625, device='cuda:0')
135,tensor(69.7674, device='cuda:0')
140,tensor(70.4319, device='cuda:0')
145,tensor(73.5880, device='cuda:0')
150,tensor(69.7674, device='cuda:0')
155,tensor(72.9236, device='cuda:0')
160,tensor(71.4286, device='cuda:0')
165,tensor(73.7542, device='cuda:0')
170,tensor(71.7608, device='cuda:0')
175,tensor(71.2625, device='cuda:0')
180,tensor(71.5947, device='cuda:0')
185,tensor(71.2625, device='cuda:0')
190,tensor(71.0963, device='cuda:0')
195,tensor(70.2658, device='cuda:0')
200,tensor(73.2558, device='cuda:0')
205,tensor(71.9269, device='cuda:0')
210,tensor(72.5914, device='cuda:0')
215,tensor(71.0963, device='cuda:0')
220,tensor(71.0963, device='cuda:0')
225,tensor(71.4286, device='cuda:0')
230,tensor(72.5914, device='cuda:0')
235,tensor(75.4153, device='cuda:0')
240,tensor(73.0897, device='cuda:0')
245,tensor(70.4319, device='cuda:0')
250,tensor(71.7608, device='cuda:0')
255,tensor(72.0930, device='cuda:0')
260,tensor(71.4286, device='cuda:0')
265,tensor(73.0897, device='cuda:0')
270,tensor(70.9302, device='cuda:0')
275,tensor(72.2591, device='cuda:0')
280,tensor(71.0963, device='cuda:0')
285,tensor(70.5980, device='cuda:0')
290,tensor(72.0930, device='cuda:0')
295,tensor(70.0997, device='cuda:0')
300,tensor(73.4219, device='cuda:0')
