Jun/25/2018 17:39:53
epoches, top1
Jun/25/2018 17:40:21
epoches, top1
Jun/25/2018 17:41:06
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(0., device='cuda:0')
10,tensor(8.5069, device='cuda:0')
15,tensor(35.0694, device='cuda:0')
20,tensor(49.3056, device='cuda:0')
25,tensor(56.5972, device='cuda:0')
30,tensor(57.8125, device='cuda:0')
35,tensor(57.8125, device='cuda:0')
40,tensor(55.7292, device='cuda:0')
45,tensor(56.9444, device='cuda:0')
50,tensor(54.5139, device='cuda:0')
55,tensor(54.8611, device='cuda:0')
60,tensor(56.4236, device='cuda:0')
65,tensor(55.0347, device='cuda:0')
70,tensor(57.1181, device='cuda:0')
75,tensor(57.6389, device='cuda:0')
80,tensor(55.7292, device='cuda:0')
85,tensor(55.2083, device='cuda:0')
90,tensor(54.5139, device='cuda:0')
95,tensor(57.9861, device='cuda:0')
100,tensor(57.1181, device='cuda:0')
105,tensor(56.4236, device='cuda:0')
110,tensor(57.1181, device='cuda:0')
115,tensor(55.3819, device='cuda:0')
120,tensor(56.0764, device='cuda:0')
125,tensor(55.5556, device='cuda:0')
130,tensor(56.4236, device='cuda:0')
135,tensor(54.5139, device='cuda:0')
140,tensor(57.8125, device='cuda:0')
145,tensor(56.5972, device='cuda:0')
150,tensor(55.7292, device='cuda:0')
155,tensor(54.5139, device='cuda:0')
160,tensor(54.6875, device='cuda:0')
165,tensor(56.5972, device='cuda:0')
170,tensor(58.6806, device='cuda:0')
175,tensor(55.3819, device='cuda:0')
180,tensor(55.2083, device='cuda:0')
185,tensor(55.7292, device='cuda:0')
190,tensor(55.7292, device='cuda:0')
195,tensor(55.3819, device='cuda:0')
200,tensor(55.7292, device='cuda:0')
205,tensor(54.5139, device='cuda:0')
210,tensor(55.2083, device='cuda:0')
215,tensor(55.9028, device='cuda:0')
220,tensor(54.8611, device='cuda:0')
225,tensor(55.7292, device='cuda:0')
230,tensor(55.3819, device='cuda:0')
235,tensor(59.3750, device='cuda:0')
240,tensor(56.9444, device='cuda:0')
245,tensor(54.8611, device='cuda:0')
250,tensor(55.7292, device='cuda:0')
255,tensor(56.2500, device='cuda:0')
260,tensor(56.7708, device='cuda:0')
265,tensor(54.8611, device='cuda:0')
270,tensor(57.1181, device='cuda:0')
275,tensor(56.4236, device='cuda:0')
280,tensor(55.9028, device='cuda:0')
285,tensor(56.5972, device='cuda:0')
290,tensor(55.9028, device='cuda:0')
