Jun/22/2018 11:58:34
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(63.4551, device='cuda:0')
10,tensor(73.4219, device='cuda:0')
15,tensor(73.9203, device='cuda:0')
20,tensor(74.0864, device='cuda:0')
25,tensor(74.0864, device='cuda:0')
30,tensor(74.2525, device='cuda:0')
35,tensor(74.2525, device='cuda:0')
40,tensor(74.4186, device='cuda:0')
45,tensor(74.4186, device='cuda:0')
50,tensor(74.9169, device='cuda:0')
55,tensor(74.2525, device='cuda:0')
60,tensor(74.4186, device='cuda:0')
65,tensor(74.4186, device='cuda:0')
70,tensor(74.9169, device='cuda:0')
75,tensor(74.4186, device='cuda:0')
80,tensor(74.4186, device='cuda:0')
85,tensor(74.4186, device='cuda:0')
90,tensor(74.4186, device='cuda:0')
95,tensor(74.4186, device='cuda:0')
100,tensor(74.5847, device='cuda:0')
105,tensor(74.4186, device='cuda:0')
110,tensor(74.4186, device='cuda:0')
115,tensor(74.2525, device='cuda:0')
120,tensor(74.4186, device='cuda:0')
125,tensor(74.4186, device='cuda:0')
130,tensor(74.4186, device='cuda:0')
135,tensor(74.5847, device='cuda:0')
140,tensor(74.4186, device='cuda:0')
145,tensor(74.4186, device='cuda:0')
150,tensor(74.4186, device='cuda:0')
155,tensor(74.2525, device='cuda:0')
160,tensor(74.7508, device='cuda:0')
165,tensor(74.4186, device='cuda:0')
170,tensor(74.4186, device='cuda:0')
175,tensor(74.4186, device='cuda:0')
180,tensor(74.4186, device='cuda:0')
185,tensor(74.5847, device='cuda:0')
190,tensor(74.4186, device='cuda:0')
195,tensor(74.4186, device='cuda:0')
200,tensor(74.4186, device='cuda:0')
205,tensor(74.4186, device='cuda:0')
210,tensor(74.7508, device='cuda:0')
215,tensor(74.4186, device='cuda:0')
220,tensor(74.4186, device='cuda:0')
225,tensor(74.4186, device='cuda:0')
230,tensor(74.4186, device='cuda:0')
235,tensor(74.5847, device='cuda:0')
240,tensor(74.4186, device='cuda:0')
245,tensor(74.2525, device='cuda:0')
250,tensor(74.2525, device='cuda:0')
255,tensor(74.4186, device='cuda:0')
260,tensor(74.4186, device='cuda:0')
265,tensor(74.2525, device='cuda:0')
270,tensor(74.4186, device='cuda:0')
275,tensor(74.4186, device='cuda:0')
280,tensor(74.4186, device='cuda:0')
285,tensor(74.4186, device='cuda:0')
290,tensor(74.4186, device='cuda:0')
295,tensor(74.4186, device='cuda:0')
300,tensor(74.4186, device='cuda:0')
Jun/22/2018 13:03:27
