Jun/25/2018 16:19:41
epoches, top1
0,tensor(1.1628, device='cuda:0')
5,tensor(68.9369, device='cuda:0')
10,tensor(70.4319, device='cuda:0')
15,tensor(71.2625, device='cuda:0')
20,tensor(71.2625, device='cuda:0')
25,tensor(70.9302, device='cuda:0')
30,tensor(71.2625, device='cuda:0')
35,tensor(72.5914, device='cuda:0')
40,tensor(72.4252, device='cuda:0')
45,tensor(72.4252, device='cuda:0')
50,tensor(72.9236, device='cuda:0')
55,tensor(72.4252, device='cuda:0')
60,tensor(72.4252, device='cuda:0')
65,tensor(73.0897, device='cuda:0')
70,tensor(73.0897, device='cuda:0')
75,tensor(72.7575, device='cuda:0')
80,tensor(72.4252, device='cuda:0')
85,tensor(72.9236, device='cuda:0')
90,tensor(72.9236, device='cuda:0')
95,tensor(72.9236, device='cuda:0')
100,tensor(72.4252, device='cuda:0')
105,tensor(72.4252, device='cuda:0')
110,tensor(72.5914, device='cuda:0')
115,tensor(72.5914, device='cuda:0')
120,tensor(72.4252, device='cuda:0')
125,tensor(72.9236, device='cuda:0')
130,tensor(72.4252, device='cuda:0')
