Jun/22/2018 11:58:35
epoches, top1
0,tensor(0., device='cuda:0')
5,tensor(0., device='cuda:0')
10,tensor(0., device='cuda:0')
15,tensor(0., device='cuda:0')
20,tensor(0., device='cuda:0')
25,tensor(25., device='cuda:0')
30,tensor(0., device='cuda:0')
35,tensor(4.1667, device='cuda:0')
40,tensor(0., device='cuda:0')
45,tensor(2., device='cuda:0')
50,tensor(14., device='cuda:0')
55,tensor(0.5000, device='cuda:0')
60,tensor(0.3333, device='cuda:0')
65,tensor(14.1667, device='cuda:0')
70,tensor(3., device='cuda:0')
75,tensor(1.3333, device='cuda:0')
80,tensor(7., device='cuda:0')
85,tensor(9.3333, device='cuda:0')
90,tensor(4.6667, device='cuda:0')
95,tensor(12.3333, device='cuda:0')
100,tensor(53.5000, device='cuda:0')
105,tensor(13.8333, device='cuda:0')
110,tensor(5.6667, device='cuda:0')
115,tensor(23.6667, device='cuda:0')
120,tensor(2.3333, device='cuda:0')
125,tensor(4.1667, device='cuda:0')
130,tensor(14., device='cuda:0')
135,tensor(14.1667, device='cuda:0')
140,tensor(3.1667, device='cuda:0')
145,tensor(13.8333, device='cuda:0')
150,tensor(52.8333, device='cuda:0')
155,tensor(0., device='cuda:0')
160,tensor(13.8333, device='cuda:0')
165,tensor(0.1667, device='cuda:0')
170,tensor(3.6667, device='cuda:0')
175,tensor(0.3333, device='cuda:0')
180,tensor(0., device='cuda:0')
185,tensor(13.8333, device='cuda:0')
190,tensor(14.3333, device='cuda:0')
195,tensor(10.6667, device='cuda:0')
200,tensor(0., device='cuda:0')
205,tensor(14., device='cuda:0')
210,tensor(8.3333, device='cuda:0')
215,tensor(7., device='cuda:0')
220,tensor(14., device='cuda:0')
225,tensor(7., device='cuda:0')
230,tensor(53.5000, device='cuda:0')
235,tensor(1.6667, device='cuda:0')
240,tensor(14.1667, device='cuda:0')
245,tensor(0.6667, device='cuda:0')
250,tensor(2.5000, device='cuda:0')
255,tensor(9.1667, device='cuda:0')
260,tensor(14.1667, device='cuda:0')
265,tensor(53.3333, device='cuda:0')
270,tensor(10.6667, device='cuda:0')
275,tensor(0.5000, device='cuda:0')
280,tensor(13.8333, device='cuda:0')
285,tensor(0.8333, device='cuda:0')
290,tensor(0., device='cuda:0')
295,tensor(49.3333, device='cuda:0')
300,tensor(1.5000, device='cuda:0')
305,tensor(3.3333, device='cuda:0')
310,tensor(4.3333, device='cuda:0')
315,tensor(2.8333, device='cuda:0')
320,tensor(14.1667, device='cuda:0')
325,tensor(12., device='cuda:0')
330,tensor(18., device='cuda:0')
335,tensor(0., device='cuda:0')
340,tensor(0., device='cuda:0')
345,tensor(0.6667, device='cuda:0')
350,tensor(0., device='cuda:0')
355,tensor(6.8333, device='cuda:0')
360,tensor(21.3333, device='cuda:0')
365,tensor(0., device='cuda:0')
370,tensor(9.8333, device='cuda:0')
375,tensor(13.8333, device='cuda:0')
380,tensor(13.5000, device='cuda:0')
385,tensor(4.1667, device='cuda:0')
390,tensor(7., device='cuda:0')
395,tensor(0., device='cuda:0')
400,tensor(14.5000, device='cuda:0')
405,tensor(8.8333, device='cuda:0')
410,tensor(12.3333, device='cuda:0')
