Jun/22/2018 19:40:02
epoches, top1
Jun/22/2018 19:41:20
epoches, top1
0,tensor(6.3333, device='cuda:0')
Jun/22/2018 19:44:10
epoches, top1
0,tensor(3.1667, device='cuda:0')
Jun/22/2018 19:45:16
epoches, top1
0,tensor(0., device='cuda:0')
Jun/22/2018 19:45:45
epoches, top1
0,tensor(2.1667, device='cuda:0')
Jun/22/2018 19:46:52
epoches, top1
0,tensor(17.5000, device='cuda:0')
Jun/22/2018 19:48:39
epoches, top1
0,tensor(0.5000, device='cuda:0')
Jun/22/2018 19:50:29
epoches, top1
0,tensor(0.1667, device='cuda:0')
5,tensor(7., device='cuda:0')
10,tensor(20.5000, device='cuda:0')
15,tensor(41.3333, device='cuda:0')
20,tensor(49.6667, device='cuda:0')
25,tensor(51.6667, device='cuda:0')
30,tensor(53.6667, device='cuda:0')
35,tensor(54.6667, device='cuda:0')
40,tensor(54.5000, device='cuda:0')
45,tensor(55., device='cuda:0')
50,tensor(54.8333, device='cuda:0')
55,tensor(55.1667, device='cuda:0')
60,tensor(55.5000, device='cuda:0')
65,tensor(55.1667, device='cuda:0')
70,tensor(54.8333, device='cuda:0')
75,tensor(54.6667, device='cuda:0')
80,tensor(55.3333, device='cuda:0')
85,tensor(55., device='cuda:0')
90,tensor(55.1667, device='cuda:0')
95,tensor(55., device='cuda:0')
100,tensor(54.8333, device='cuda:0')
105,tensor(55.6667, device='cuda:0')
110,tensor(55.5000, device='cuda:0')
115,tensor(55., device='cuda:0')
120,tensor(54.6667, device='cuda:0')
125,tensor(55.1667, device='cuda:0')
130,tensor(54.8333, device='cuda:0')
135,tensor(55.1667, device='cuda:0')
140,tensor(54.8333, device='cuda:0')
145,tensor(54.8333, device='cuda:0')
150,tensor(55.1667, device='cuda:0')
155,tensor(55.1667, device='cuda:0')
160,tensor(54.5000, device='cuda:0')
165,tensor(55.3333, device='cuda:0')
170,tensor(55.1667, device='cuda:0')
175,tensor(55., device='cuda:0')
180,tensor(55.1667, device='cuda:0')
